AdjSquareFeet,DistancetoCoast,DistancetoSinkhole,DistancetoFireDepartment,LocationWindSpeed,NumberOfBuildings,NumberOfUnits,Age,Terrain_B   ,Terrain_C   ,Terrain_HVHZ
1384.0,2956.8,4.59,1.2,129.0,1.0,1.0,36.0,True,False,False
2848.0,-99.0,0.39,1.69,120.0,1.0,1.0,40.0,True,False,False
1936.0,-99.0,1.09,1.37,120.0,1.0,1.0,38.0,True,False,False
1468.0,-99.0,1.14,1.54,120.0,1.0,1.0,39.0,True,False,False
1468.0,-99.0,1.14,1.54,120.0,1.0,1.0,39.0,True,False,False
1840.0,-99.0,0.3,0.85,120.0,1.0,1.0,58.0,True,False,False
1736.0,-99.0,0.54,0.84,120.0,1.0,1.0,38.0,True,False,False
815.0,-99.0,0.35,1.21,120.0,1.0,1.0,48.0,True,False,False
1579.0,-99.0,0.59,1.53,120.0,1.0,1.0,35.0,True,False,False
1579.0,-99.0,0.59,1.53,120.0,1.0,1.0,35.0,True,False,False
2189.0,-99.0,0.33,0.84,123.0,1.0,1.0,48.0,True,False,False
1538.0,-99.0,0.57,1.57,120.0,1.0,1.0,32.0,True,False,False
1538.0,-99.0,0.57,1.57,120.0,1.0,1.0,32.0,True,False,False
1538.0,-99.0,0.57,1.57,120.0,1.0,1.0,32.0,True,False,False
1413.0,-99.0,0.25,0.49,120.0,1.0,1.0,24.0,True,False,False
1413.0,-99.0,0.25,0.49,120.0,1.0,1.0,24.0,True,False,False
1992.0,-99.0,0.56,1.01,123.0,1.0,1.0,48.0,True,False,False
1992.0,-99.0,0.56,1.01,123.0,1.0,1.0,48.0,True,False,False
3328.0,-99.0,3.65,0.69,140.0,1.0,1.0,38.0,False,False,True
1598.0,-99.0,0.3,0.96,123.0,1.0,1.0,41.0,True,False,False
2970.0,-99.0,0.27,1.92,120.0,1.0,1.0,33.0,True,False,False
2970.0,-99.0,0.27,1.92,120.0,1.0,1.0,33.0,True,False,False
1751.0,-99.0,0.28,1.11,120.0,1.0,1.0,47.0,True,False,False
1751.0,-99.0,0.28,1.11,120.0,1.0,1.0,47.0,True,False,False
1751.0,-99.0,0.28,1.11,120.0,1.0,1.0,47.0,True,False,False
6045.0,-99.0,8.44,6.04,130.0,1.0,1.0,24.0,True,False,False
6045.0,-99.0,8.44,6.04,130.0,1.0,1.0,24.0,True,False,False
2326.0,-99.0,0.41,0.42,120.0,1.0,1.0,46.0,True,False,False
2326.0,-99.0,0.41,0.42,120.0,1.0,1.0,46.0,True,False,False
2326.0,-99.0,0.41,0.42,120.0,1.0,1.0,46.0,True,False,False
2326.0,-99.0,0.41,0.42,120.0,1.0,1.0,46.0,True,False,False
2326.0,-99.0,0.41,0.42,120.0,1.0,1.0,46.0,True,False,False
1578.0,-99.0,26.65,1.81,146.0,1.0,1.0,45.0,False,False,True
1578.0,-99.0,26.65,1.81,146.0,1.0,1.0,45.0,False,False,True
1631.0,-99.0,5.27,0.48,140.0,1.0,1.0,22.0,False,False,True
1688.0,-99.0,37.95,1.2,146.0,1.0,1.0,42.0,False,False,True
2205.0,-99.0,0.06,1.23,120.0,1.0,1.0,46.0,True,False,False
3383.0,-99.0,1.87,0.43,140.0,1.0,1.0,26.0,False,False,True
3383.0,-99.0,1.87,0.43,140.0,1.0,1.0,26.0,False,False,True
1415.0,-99.0,12.8,1.4,146.0,1.0,1.0,47.0,False,False,True
1415.0,-99.0,12.8,1.4,146.0,1.0,1.0,47.0,False,False,True
2701.0,-99.0,17.95,0.31,146.0,2.0,1.0,48.0,False,False,True
2420.0,-99.0,0.32,0.2,120.0,1.0,1.0,48.0,True,False,False
2041.0,-99.0,5.72,1.78,140.0,1.0,1.0,34.0,True,False,False
1538.0,-99.0,0.44,1.15,123.0,1.0,1.0,45.0,True,False,False
1538.0,-99.0,0.44,1.15,123.0,1.0,1.0,45.0,True,False,False
1538.0,-99.0,0.44,1.15,123.0,1.0,1.0,45.0,True,False,False
1538.0,-99.0,0.44,1.15,123.0,1.0,1.0,45.0,True,False,False
1538.0,-99.0,0.44,1.15,123.0,1.0,1.0,45.0,True,False,False
1538.0,-99.0,0.44,1.15,123.0,1.0,1.0,45.0,True,False,False
1382.0,-99.0,0.03,0.85,123.0,1.0,1.0,37.0,True,False,False
2044.0,-99.0,27.36,0.85,146.0,1.0,1.0,43.0,False,False,True
1947.0,4699.2,0.08,0.41,123.0,1.0,1.0,26.0,True,False,False
1000.0,-99.0,6.34,0.47,140.0,1.0,1.0,45.0,False,False,True
1000.0,-99.0,6.34,0.47,140.0,1.0,1.0,45.0,False,False,True
810.0,-99.0,6.34,0.47,140.0,1.0,1.0,45.0,False,False,True
1925.0,-99.0,0.34,2.15,120.0,1.0,1.0,46.0,True,False,False
1925.0,-99.0,0.34,2.15,120.0,1.0,1.0,46.0,True,False,False
1925.0,-99.0,0.34,2.15,120.0,1.0,1.0,46.0,True,False,False
1435.0,-99.0,27.39,0.33,146.0,1.0,1.0,29.0,False,False,True
1435.0,-99.0,27.39,0.33,146.0,1.0,1.0,29.0,False,False,True
1388.0,-99.0,0.22,1.33,120.0,1.0,1.0,41.0,True,False,False
1388.0,-99.0,0.22,1.33,120.0,1.0,1.0,41.0,True,False,False
2324.0,-99.0,0.47,1.86,123.0,1.0,1.0,24.0,True,False,False
2204.0,-99.0,0.32,1.73,125.0,1.0,1.0,25.0,True,False,False
1477.0,-99.0,0.19,0.67,120.0,1.0,1.0,48.0,True,False,False
2234.0,-99.0,0.26,0.83,110.0,1.0,1.0,19.0,True,False,False
1931.0,-99.0,26.97,1.23,146.0,1.0,1.0,24.0,False,False,True
1931.0,-99.0,26.97,1.23,146.0,1.0,1.0,24.0,False,False,True
1931.0,-99.0,26.97,1.23,146.0,1.0,1.0,24.0,False,False,True
1180.0,-99.0,7.61,0.69,140.0,1.0,1.0,35.0,False,False,True
1462.0,-99.0,28.91,1.79,146.0,1.0,1.0,25.0,False,False,True
1867.0,-99.0,21.81,1.26,146.0,1.0,1.0,40.0,False,False,True
1537.0,-99.0,1.0,0.61,123.0,1.0,1.0,48.0,True,False,False
1585.0,-99.0,23.77,1.42,146.0,1.0,1.0,38.0,False,False,True
2377.0,-99.0,24.79,1.82,146.0,1.0,1.0,44.0,False,False,True
2377.0,-99.0,24.79,1.82,146.0,1.0,1.0,44.0,False,False,True
2345.0,-99.0,0.02,1.01,120.0,1.0,1.0,41.0,True,False,False
1976.0,3115.2,0.56,0.25,123.0,1.0,1.0,24.0,True,False,False
990.0,-99.0,6.92,0.24,140.0,1.0,1.0,51.0,False,False,True
990.0,-99.0,6.93,0.23,140.0,1.0,1.0,51.0,False,False,True
3214.0,-99.0,0.21,0.82,120.0,1.0,1.0,46.0,True,False,False
3214.0,-99.0,0.21,0.82,120.0,1.0,1.0,46.0,True,False,False
1252.0,2428.8,1.6,1.03,123.0,1.0,1.0,20.0,True,False,False
2243.0,-99.0,1.01,1.81,120.0,1.0,1.0,44.0,True,False,False
2243.0,-99.0,1.01,1.81,120.0,1.0,1.0,44.0,True,False,False
2243.0,-99.0,1.01,1.81,120.0,1.0,1.0,44.0,True,False,False
1800.0,-99.0,0.05,0.7,120.0,1.0,2.0,19.0,True,False,False
1421.0,-99.0,0.46,0.66,123.0,1.0,1.0,41.0,True,False,False
1847.0,-99.0,0.17,1.31,120.0,1.0,1.0,48.0,True,False,False
1847.0,-99.0,0.17,1.31,120.0,1.0,1.0,48.0,True,False,False
3783.0,-99.0,0.45,1.12,120.0,2.0,2.0,44.0,True,False,False
