AdjSquareFeet,DistancetoCoast,DistancetoSinkhole,DistancetoFireDepartment,LocationWindSpeed,Terrain,ValueofHome,NumberOfBuildings,NumberOfUnits,Age
1351.0,-99.0,1.16,0.69,110.0,B   ,108100.0,1.0,1.0,23.0
1744.0,-99.0,5.2,1.23,140.0,HVHZ,170580.0,1.0,1.0,65.0
2067.0,-99.0,10.44,0.4,146.0,HVHZ,109465.0,1.0,1.0,62.0
2054.0,-99.0,2.27,0.86,146.0,HVHZ,212627.0,2.0,1.0,65.0
1392.0,-99.0,30.77,1.4,146.0,HVHZ,133750.0,1.0,1.0,18.0
2682.0,-99.0,10.23,1.11,120.0,B   ,79850.0,1.0,1.0,60.0
1457.0,-99.0,5.47,0.53,140.0,HVHZ,239470.0,1.0,1.0,31.0
1657.0,-99.0,1.52,0.36,123.0,B   ,159962.0,1.0,1.0,51.0
1235.0,-99.0,3.06,0.43,146.0,HVHZ,183865.0,1.0,1.0,53.0
1663.0,-99.0,3.83,0.53,140.0,HVHZ,136840.0,1.0,1.0,60.0
1530.0,-99.0,0.55,1.53,130.0,B   ,87148.0,1.0,1.0,68.0
1978.0,-99.0,3.66,0.78,140.0,HVHZ,367550.0,1.0,1.0,62.0
2684.0,52.8,22.9,1.22,135.0,C   ,675138.0,1.0,1.0,36.0
1680.0,-99.0,1.65,0.3,140.0,HVHZ,236850.0,1.0,1.0,64.0
1524.0,-99.0,8.3,0.61,140.0,B   ,158948.0,1.0,1.0,52.0
2071.0,-99.0,0.41,0.63,123.0,B   ,247656.0,1.0,1.0,46.0
1355.0,1108.8,1.14,1.09,123.0,B   ,165907.0,1.0,1.0,62.0
2229.0,-99.0,4.58,1.4,130.0,B   ,266396.0,1.0,1.0,40.0
1734.0,-99.0,1.39,0.75,123.0,B   ,173527.0,1.0,1.0,60.0
1500.0,-99.0,29.14,0.59,146.0,HVHZ,196138.0,1.0,1.0,50.0
2839.0,-99.0,10.54,1.11,130.0,B   ,281008.0,1.0,1.0,28.0
1349.0,4329.6,3.18,1.04,120.0,B   ,102057.0,1.0,1.0,38.0
1491.0,-99.0,0.26,0.76,120.0,B   ,134055.0,1.0,1.0,32.0
3170.0,580.8,0.68,0.51,123.0,C   ,1137858.0,1.0,1.0,68.0
1700.0,-99.0,11.8,0.99,140.0,B   ,134000.0,1.0,1.0,40.0
2253.0,-99.0,14.55,1.43,146.0,HVHZ,355505.0,1.0,1.0,28.0
1942.0,-99.0,2.03,1.49,119.0,B   ,101918.0,1.0,1.0,64.0
2592.0,-99.0,6.83,1.82,120.0,B   ,140510.0,1.0,1.0,28.0
960.0,528.0,2.49,1.49,120.0,C   ,174495.0,1.0,1.0,82.0
1041.0,3326.4,0.95,0.77,123.0,B   ,71076.0,1.0,1.0,64.0
